title,description,creator,location,date,dateCreated:end,source,type,content_type,format,display_template,subject,filename,object_location,image_small,image_thumb,rights,object_thumb,object_location,reference_url
"Automobile on Main Street in Deary","The first car in Deary. Dick Wilkins and his Franklin car on Main Street.  Seated in car left to right: Mae Evans, Mae Balderson, Catherine Lunsford, Anna Hanson, Dick Wilkins, Ada Bower","","Deary, ID","1910","1920","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Cars; Main Street; Franklin; Deary; Idaho","04-02-005.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-005.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-02-005_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-005_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-005_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-005.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-02-005.html"
"Main Street of Deary","Horse and people on Deary&#39;s Main Street.","","Deary, ID","1913","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Horses; Board sidewalk; Main Street; Deary; Idaho","04-02-006.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-006.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-02-006_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-006_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-006_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-006.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-02-006.html"
"Street scene in Deary","Deary street scene, automobiles and people crowded around two flagpoles.  Spud Hill (alias Potato Hill or Mt. Deary) in background.","","Deary, ID","1918-05","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Cars; Flags; Dirt road; Board sidewalk; Deary; Idaho","04-02-007.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-007.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-02-007_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-007_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-007_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-007.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-02-007.html"
"People and cars on Main Street","A crowd of people with cars in front of businesses on Main Street in Deary.  Caption says &quot;SELLING LIBERTY BONDS.&quot;","","Deary, ID","1919","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Cars; Businesses; Dirt road; Deary; Idaho","04-02-008.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-008.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-02-008_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-008_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-008_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-008.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-02-008.html"
"Main St. and Potato (Spud) Hill","Main Street of Deary showing buildings and elevators, looking toward Spud Hill (alias Potato Hill or Mt. Deary).","","Deary, ID","1978","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Pickups; Elevator; Deary; Idaho","04-02-010.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-010.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-02-010_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-010_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-010_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-010.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-02-010.html"
"Deary Hotel front and seated crowd","People sitting on the porch of the Deary Hotel, with a flag flying from an upper window.","","Deary, ID","1890","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Hotel; Flags; Porch; Deary; Idaho","04-02-011.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-011.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-02-011_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-011_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-011_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-011.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-02-011.html"
"Deary street scene","Deary street scene with Chevron station and cars probably on Main Street.","","Deary, ID","1950","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Cars; Gas station; Deary; Idaho","04-02-013.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-013.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-02-013_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-013_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-02-013_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-02-013.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-02-013.html"
"Deary Hotel","People sitting on the porch of the Deary Hotel, listening to a speaker, with a flag flying from an upper window.","","Deary, ID","1900","1910","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Hotel; Porch; Flags; Deary; Idaho","04-03-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-001.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-001_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-001_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-001_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-001.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-001.html"
"Carlson &amp; Lensgraff General Merchandise store","Six adults and three children in front of Carlson and Lensegraff General Merchandise store in Deary.","","Deary, ID","1905","1910","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","General store; Fashion; Business; Deary; Idaho","04-03-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-002.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-002_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-002_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-002_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-002.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-002.html"
"Burkland Mill","Burkland Mill near Deary","","Deary, ID","1910","1920","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Lumber; Logging; Trees; Mill; Deary; Idaho","04-03-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-003.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-003_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-003_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-003_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-003.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-003.html"
"Horse logging","Joe Wells horse logging crew near Deary.  Men on the logpile are Joe, Roy and Chuck Wells.  Man on right is unidentified.  Joe had been born a slave in 1958, and was freed by the Civil War.  The Wells brothers took him as their ward and treated him like a brother.  Joe loved them equally, and took their surname.  When the Wells came West, Joe and his young wife came along.  His wife was named Lou, and their sons were Chuck and Roy, and daughter was Mary (Wells) King.","","Deary, ID","1915","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Horses; Logging; Logs; Deary; Idaho","04-03-004.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-004.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-004_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-004_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-004_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-004.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-004.html"
"O. E. Mang, blacksmith","Men and horses outside the blacksmith shop of O. E. Mang. Two houses are in the background.","","Deary, ID","1910","1915","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Horses; Wagon; Blacksmith; Horse shoeing; Deary; Idaho","04-03-005.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-005.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-005_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-005_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-005_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-005.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-005.html"
"Deary Lumber Company Plant and Yards","Stacks of lumber and Deary Lumber Company building.","","Deary, ID","1905","1915","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Lumber Company; Lumber; Deary; Idaho","04-03-006.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-006.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-006_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-006_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-006_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-006.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-006.html"
"Pool Hall","Pool hall in Deary, including an old radio (Victrola?) on a counter and display cases containing cigar boxes and other items.  Two pans on the floor may have been used as spitoons or ash receptacles.  There is a man behind the counter and five men posing in the hall.","","Deary, ID","1905","1915","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Pool hall; Pool cue sticks; Light fixture; Cigars; Deary; Idaho","04-03-007.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-007.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-007_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-007_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-007_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-007.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-007.html"
"Emery Olson Co. General Merchandise","Two men on the porch in front of the Emory Olson Co. General Merchandise store in Deary.  Below a window is a sign advertising cream separators.","","Deary, ID","1915","","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","General store; Window displays; Board sidewalk; Cream separators; Deary; Idaho","04-03-008.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-008.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-008_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-008_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-008_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-008.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-008.html"
"Depot","Deary Depot, with people standing on the platform, along with a wagon and two milk cans.","","Deary, ID","1905","1915","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Railroad tracks; Train depot; Fashion; Milk cans; Deary; Idaho","04-03-009.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-009.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-009_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-009_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-009_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-009.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-009.html"
"W.I &amp; M. Depot","Washington, Idaho &amp; Montana (W.I.&amp;M) Railroad Depot, locomotive and train in Deary.","","Deary, ID","1905","1915","Image Collections, Latah County Historical Society, https://www.latahcountyhistoricalsociety.org/","Image;StillImage","PHOTOGRAPH","image/jpeg","image","Railroad tracks; Train depot; Steam locomotive; Snow; Deary; Idaho","04-03-010.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-010.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/small/04-03-010_sm.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-010_th.jpg","Copyright, Latah County Historical Society Collections. All Rights reserved, contact the Latah County Historical Society for reproduction information.","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/thumbs/04-03-010_th.jpg","https://latahcountyhistory.sfo3.digitaloceanspaces.com/deary/04-03-010.jpg","https://latahcountyhistoricalsociety.github.io/deary-pilot/items/04-03-010.html"
